Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8129251700680272,0.4166666666666667,0.425531914893617,0.42105263157894735,0.7102248255663709
Random Forest,0.8197278911564626,0.38461538461538464,0.2127659574468085,0.273972602739726,0.7109570161081918
Gradient Boosting,0.8367346938775511,0.4782608695652174,0.23404255319148937,0.3142857142857143,0.7147902489447842
XGBoost,0.8537414965986394,0.6,0.2553191489361702,0.3582089552238805,0.7076406236540617
